file,battery,battery_central,curtailment,pv,sell_grid_power,solar_power,supply_grid_power,unmet_demand,Cluster
run_wm0p16667_wc0p8_wt0p03333.nc,348.54599262437546,56.048634586173506,779.4884166800608,1400.936797975567,417.04663566610384,1199.9977306614414,191.7126254766898,0.0,0
run_wm0p16667_wc0p4_wt0p43333.nc,376.16229977034334,0.009522932892443933,780.7326121030231,959.3497350991829,0.0002645417504079264,1199.9873556378272,191.7291512558489,0.0,1
run_wm0p06667_wc0p73333_wt0p2.nc,542.4435460280588,0.05871227449865615,744.896094205178,1223.7256268047265,0.0008931166903279505,1199.9800804077474,191.79208744501236,0.0,1
run_wm0p8_wc0p06667_wt0p13333.nc,175.59541034848655,0.0018339217726568234,862.9130590887399,1303.650696034147,361.001740422524,1199.990705550242,367.05797422157866,0.0,0
run_wm0p46667_wc0p3_wt0p23333.nc,278.7722807178873,0.0025296017931299725,789.3451867232843,736.1042204159764,0.00222503757047307,1199.9955854194054,281.64581707086217,0.0,1
run_wm0p56667_wc0p1_wt0p33333.nc,240.61556434590818,0.001822035566697104,802.404760076318,705.9702627660688,0.001822389642217681,1199.997973091721,359.3089831606468,0.0,2
run_wm0p46667_wc0p06667_wt0p46667.nc,276.36041948385594,0.009774675581037508,793.3381225955727,797.765178165201,0.009912384432551321,1199.9793421093877,191.69186601087023,0.0,1
run_wm1e-05_wc0p33333_wt0p66667.nc,1745.6093807826724,0.09836029292693214,581.7572945051833,1710.0793428467891,2.0115322942161886,1199.9998499702435,399.9999220650906,1.1882455967205073e-10,3
run_wm1e-05_wc0p76667_wt0p23333.nc,1840.8983495374273,0.18037433888172505,578.9918294049837,1780.1977173660287,9.36307088838077,1199.999211994872,192.38978801399773,2.315611590148191e-10,3
run_wm0p93333_wc0p06667_wt1e-05.nc,0.3927248747522254,0.035679856973383745,889.9106426094611,1067.9992437939213,361.03551890247365,1199.989276852033,194.94102281485257,0.0,0
run_wm0p03333_wc0p86667_wt0p1.nc,664.0696391449185,0.03649763759117541,740.5995909087218,1386.71160105213,0.00039488037244285294,1199.9985677101956,191.8380755423416,0.0,1
run_wm1e-05_wc0p93333_wt0p06667.nc,1841.9238448447786,0.04149956419368375,555.78150902406,1694.153341328409,2.3046510026163833,1199.9999169192974,192.38742169743165,0.0,3
run_wm0p4_wc0p06667_wt0p53333.nc,298.1412765351102,0.007232070354714778,790.1396575819871,786.1907655225194,0.007441087277541277,1199.9893522274572,191.69873399448724,0.0,1
run_wm0p4_wc0p43333_wt0p16667.nc,300.3053295860329,0.010586721989235204,792.2400497535491,782.3378802329223,11.268822531169718,1199.9839922057424,191.65404733963206,0.0,1
